State,County,ZIP,Target Home Value Range,Estimated Population,Estimated Lead Volume,Priority,Reason,Suggested Lead Pull Criteria
AL,Gurley Zip Market,35748,$374k-$350k,39.0,39.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Parrish Zip Market,34219,$237k-$501k,376.0,376.0,High,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Milton Zip Market,32583,$174k-$367k,187.0,187.0,High,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Milton Zip Market,32571,$188k-$398k,218.0,218.0,High,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Haines City Zip Market,33844,$171k-$360k,422.0,422.0,High,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Land O Lakes Zip Market,34638,$227k-$480k,218.0,218.0,High,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Gulf Breeze Zip Market,32563,$244k-$516k,196.0,196.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Saint Johns Zip Market,32259,$321k-$550k,320.0,320.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Spring Hill Zip Market,34609,$186k-$393k,255.0,255.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Cantonment Zip Market,32533,$182k-$384k,168.0,168.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Apopka Zip Market,32703,$212k-$449k,168.0,168.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Palm Bay Zip Market,32907,$193k-$407k,258.0,258.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Melbourne Zip Market,32940,$263k-$550k,302.0,302.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Bradenton Zip Market,34211,$304k-$550k,358.0,358.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Crestview Zip Market,32539,$164k-$346k,215.0,215.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Jacksonville Zip Market,32256,$155k-$328k,228.0,228.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Port Saint Lucie Zip Market,34953,$241k-$508k,418.0,418.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Gainesville Zip Market,32608,$155k-$328k,241.0,241.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Pensacola Zip Market,32526,$171k-$362k,196.0,196.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Winter Garden Zip Market,34787,$308k-$550k,627.0,627.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Jacksonville Zip Market,32244,$147k-$311k,184.0,184.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Kissimmee Zip Market,34758,$177k-$373k,225.0,225.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Apopka Zip Market,32712,$254k-$537k,220.0,220.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Crawfordville Zip Market,32327,$191k-$404k,171.0,171.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Navarre Zip Market,32566,$289k-$550k,330.0,330.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Davenport Zip Market,33837,$203k-$429k,610.0,610.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Saint Cloud Zip Market,34772,$225k-$475k,298.0,298.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Zephyrhills Zip Market,33541,$196k-$414k,142.0,142.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Panama City Zip Market,32404,$171k-$362k,370.0,370.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Niceville Zip Market,32578,$276k-$550k,164.0,164.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Sarasota Zip Market,34231,$241k-$508k,309.0,309.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Riverview Zip Market,33579,$229k-$485k,254.0,254.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Rockledge Zip Market,32955,$209k-$441k,159.0,159.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Tampa Zip Market,33647,$244k-$515k,270.0,270.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Riverview Zip Market,33578,$185k-$390k,242.0,242.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Saint Augustine Zip Market,32084,$222k-$469k,350.0,350.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Boca Raton Zip Market,33433,$235k-$496k,310.0,310.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Palm Bay Zip Market,32908,$195k-$412k,195.0,195.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Melbourne Zip Market,32904,$227k-$480k,155.0,155.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Crestview Zip Market,32536,$174k-$367k,170.0,170.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Tallahassee Zip Market,32312,$257k-$542k,140.0,140.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Deland Zip Market,32724,$206k-$435k,246.0,246.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Boynton Beach Zip Market,33437,$201k-$425k,364.0,364.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Port Richey Zip Market,34668,$142k-$299k,307.0,307.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Orlando Zip Market,32828,$258k-$546k,169.0,169.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Deltona Zip Market,32738,$175k-$369k,149.0,149.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,West Palm Beach Zip Market,33411,$234k-$494k,438.0,438.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Orange Park Zip Market,32073,$171k-$361k,124.0,124.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Hollywood Zip Market,33024,$251k-$530k,219.0,219.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Saint Augustine Zip Market,32086,$214k-$452k,210.0,210.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Wesley Chapel Zip Market,33545,$243k-$514k,219.0,219.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Brandon Zip Market,33511,$209k-$441k,140.0,140.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Lake Mary Zip Market,32746,$227k-$480k,161.0,161.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Tampa Zip Market,33624,$238k-$502k,93.0,93.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Boca Raton Zip Market,33434,$130k-$181k,260.0,260.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Punta Gorda Zip Market,33982,$242k-$512k,198.0,198.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Debary Zip Market,32713,$227k-$478k,104.0,104.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Palm Harbor Zip Market,34683,$267k-$550k,172.0,172.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Jacksonville Zip Market,32246,$183k-$387k,125.0,125.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Pensacola Zip Market,32506,$152k-$322k,151.0,151.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,North Port Zip Market,34286,$195k-$412k,211.0,211.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Saint Petersburg Zip Market,33713,$251k-$531k,137.0,137.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Nokomis Zip Market,34275,$294k-$550k,258.0,258.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Ocala Zip Market,34481,$158k-$333k,557.0,557.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Melbourne Zip Market,32935,$154k-$325k,202.0,202.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Jacksonville Zip Market,32211,$143k-$303k,70.0,70.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Winter Park Zip Market,32792,$226k-$477k,139.0,139.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Fort Walton Beach Zip Market,32547,$180k-$380k,137.0,137.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Lakeland Zip Market,33810,$195k-$412k,156.0,156.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Beverly Hills Zip Market,34465,$158k-$333k,180.0,180.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Fleming Island Zip Market,32003,$258k-$545k,78.0,78.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Dade City Zip Market,33525,$223k-$472k,139.0,139.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Tampa Zip Market,33618,$201k-$424k,101.0,101.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Lehigh Acres Zip Market,33971,$177k-$373k,418.0,418.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Wimauma Zip Market,33598,$203k-$429k,240.0,240.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Cape Coral Zip Market,33991,$266k-$550k,308.0,308.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Port Saint Lucie Zip Market,34952,$179k-$379k,277.0,277.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Saint Petersburg Zip Market,33710,$249k-$525k,163.0,163.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Miami Zip Market,33186,$299k-$550k,183.0,183.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Port Saint Lucie Zip Market,34986,$215k-$455k,340.0,340.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Orlando Zip Market,32837,$213k-$451k,150.0,150.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Saint Petersburg Zip Market,33703,$275k-$550k,257.0,257.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Orlando Zip Market,32808,$147k-$311k,117.0,117.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Homestead Zip Market,33034,$214k-$452k,232.0,232.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Kissimmee Zip Market,34744,$230k-$486k,272.0,272.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Fort Lauderdale Zip Market,33324,$168k-$356k,286.0,286.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Valrico Zip Market,33596,$267k-$550k,95.0,95.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Sebastian Zip Market,32958,$206k-$435k,217.0,217.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Tampa Zip Market,33626,$259k-$548k,90.0,90.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Pensacola Zip Market,32503,$187k-$394k,157.0,157.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,New Smyrna Beach Zip Market,32168,$222k-$469k,281.0,281.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Titusville Zip Market,32780,$151k-$319k,283.0,283.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Vero Beach Zip Market,32967,$251k-$530k,315.0,315.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Dunnellon Zip Market,34434,$149k-$315k,280.0,280.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Lady Lake Zip Market,32159,$192k-$406k,203.0,203.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Tampa Zip Market,33612,$205k-$432k,91.0,91.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Pensacola Zip Market,32507,$256k-$541k,433.0,433.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Lakeland Zip Market,33811,$187k-$395k,125.0,125.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Tallahassee Zip Market,32308,$226k-$477k,64.0,64.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Delray Beach Zip Market,33484,$130k-$215k,409.0,409.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,North Fort Myers Zip Market,33917,$174k-$367k,294.0,294.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Boca Raton Zip Market,33428,$203k-$429k,197.0,197.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
